NNo,GCVS,RA,Dec,RA (hourangle),Type,Max,Min I,Min II,,Epoch,Year,Period,M-m,Spectrum,References,Other desig. p.m.(as/yr),,Epoch,,Ident.,New type,GCVS,
191258,V1258 Cen *,195.1210417,-30.8825278,13.00806945,EA+UG,15.4,22.2,,V,50567.55919,,0.08885,11,pec(UG),80374 80374,,,1999.24,,2MASS,EA+UG,V1258 Cen,
830165,EV    UMa,196.9744167,53.8584444,13.13162778,AM,17,21,,V,,,,,,72171 72218,,,1999.193,,2MASS,,EV    UMa,
190812,V0812 Cen,198.4759583,-57.6794167,13.23173055,NB,11,20.4,,V,41796,1973,,,pec(Nova),08231 08231,,,1993.347,,GCVS,N,V0812 Cen,
860324,PZ    Vir,201.0482083,3.3473611,13.40321389,AM,20.5,21.8,,r,,,,,,78168 78043,,,2002.2,,Lit.,,PZ    Vir,
190009,Z     Cen *,204.989,-31.6350833,13.66593333,SNI,8,20.5,,p,13383,1895,,,pec(SN),02249 N0486,,,1895,,Lit.,SNI,Z     Cen,
190890,V0890 Cen,207.3832083,-47.9112778,13.82554722,NL,19,21.5,,p,,,,,pec(e),73015 73015,,,1983.2,,B1.0,CV,V0890 Cen,
190868,V0868 Cen,207.5441667,-63.1477778,13.83627778,NA,10.24,22.5,,V,48376,1991,,,pec(Nova),N0515 N0516,,,,,Lit.,N,V0868 Cen,
190891,V0891 Cen,207.6215833,-48.0466944,13.84143889,NL,19,21,,p,,,,,pec(e),73015 73015,,,1979.283,,A2.0,CV,V0891 Cen,
860508,V0508 Vir,208.4271667,-0.2858611,13.89514445,RRAB,19.3,20.3,,V,51579.9155,,0.550159,,,80159 USNO,,,1952.08,,A2.0,,V0508 Vir,
830427,V0427 UMa,209.1767083,61.50675,13.94511389,UG,15.5,20.3,,CV,,,,,,81155 USNO,,0.000  0.000,1996.149,,G23,,V0427 UMa,
830019,SS    UMa,210.51125,54.4658333,14.03408333,SN,13.5,20.8,,B,18359,1909,,,,V 436 V 436,#NAME?,,1909.143,,Lit.,,SS    UMa,
860193,GK    Vir *,213.9022083,1.28825,14.26014722,EA/WD,17.01,23,,V,42543.8371,,0.344330809,1,,08278 08278,,,1955.374,,A2.0,,GK    Vir,
860548,V0548 Vir,215.027,-1.0178056,14.33513333,RRAB,19.2,20.2,,V,51338.6598,,0.545176,15,,80159 USNO,,,1955.39,,A2.0,,V0548 Vir,
230127,DD    Cir,215.8477083,-69.1459167,14.38984722,NA,7.5,21,,V,,,,,,75292 75293,,,,,Lit.,,DD    Cir,
860558,V0558 Vir,216.756625,-1.3861944,14.45044167,AM,15.1,20.4,,R,,,,,pec(e),80400 SDSS,,-0.026  0.025,2000,,SDSS,,V0558 Vir,
490362,V0362 Lib,220.9245833,-17.9304167,14.72830555,UGSU,13.6,20.1,,CV,,,,,,81181 USNO,,0.000  0.000,1994.186,,G23,,V0362 Lib,
90039,UZ    Boo,221.0051667,22.0151667,14.73367778,UG,11,20.4,,V,,,-2191,,,N0054 72085,,,1992.193,,GSC2.3,UGWZ,UZ    Boo,
860595,V0595 Vir,221.4591667,-2.2304444,14.76394445,RRAB,18.6,20.1,,V,51236.8331,,0.50238,15,,80159 USNO,,,1957.323,,A2.0,,V0595 Vir,
490283,MU    Lib,224.1577083,-0.9397222,14.94384722,RRAB,18.7,20.1,,V,51618.7483,,0.568229,13,,80159 USNO,,,1957.323,,A2.0,,MU    Lib,
490308,OU    Lib,227.53725,-0.9748056,15.16915,RRAB,18.7,20.1,,V,51612.8382,,0.480064,11,,80159 USNO,,,1955.3,,A2.0,,OU    Lib,
760417,V0417 Ser,228.532,-1.4353611,15.23546667,RRAB,19.1,20.3,,V,51621.8781,,0.545916,,,80159 USNO,,,1955.3,,A2.0,,V0417 Ser,
90314,PP    Boo,228.558625,45.8202778,15.23724167,NL,20.2,20.5,,g,,,,,pec(e),80030 79229,,,1953.203,,A2.0,CV,PP    Boo,
810258,KY    TrA *,232.0704583,-61.8827222,15.47136389,XND,17.5,20.5,,B,,,,,,08544 08544,,,1975.435,,GCVS,,KY    TrA,
760452,V0452 Ser,233.6631667,-0.4375833,15.57754445,RRAB,18.9,20.2,,V,51257.8988,,0.636913,,,80159 USNO,,,1950.462,,A2.0,,V0452 Ser,
760453,V0453 Ser,233.7195417,-1.6713333,15.58130278,RRAB,19.2,20.1,,V,51612.8728,,0.540028,11,,80159 USNO,,,1950.462,,A2.0,,V0453 Ser,
570381,V0381 Nor,237.7445,-56.4765278,15.84963333,XND,15.6,21.4,,V,,,,,,76132 76133,,,1998.76,,GCVS,,V0381 Nor,
760481,V0481 Ser,237.8210417,-1.61825,15.85473611,RRAB,18.9,20.1,,V,51999.9187,,0.496769,13,,80159 G2.3,,,1992.426,,GSC2.3,,V0481 Ser,
760489,V0489 Ser,238.8833333,-0.1819722,15.92555555,EA,19.2,21,,*,53873.59434,,0.078847,12,pec(e),80064 80027,,,1992.424,,GSC2.3,,V0489 Ser,
270097,BT    CrB,239.2372917,35.3935,15.94915278,EA,18.9,20.4,,V,53193.859,,0.0892,,pec(e),80405 USNO,,,1994.368,,GSC2.3,,BT    CrB,
490182,FS    Lib *,240.0989167,-12.3493056,16.00659445,M,15.1,20.2,,p,36685,,415,,M8.1-M9.0,03519 GSC,,,1983.061,,GSC,,FS    Lib,
270036,UW    CrB,241.441125,25.8627222,16.096075,X+E,18.87,20.1,,R,,,,,,71136 71137,,,1950.369,,A2.0,,UW    CrB,
570332,QX    Nor *,243.1793333,-52.4232222,16.21195555,XND,18.2,23,,I,,,,,,04119 08521,,,1979.234,,GCVS,,QX    Nor,
840015,RW    UMi,251.9784167,77.03675,16.79856111,NA,6,21,,p,35741,1956,,,pec(Nova),04204 04205,,,1996.533,,GSC2.2,,RW    UMi,
731312,V1312 Sco,253.7894167,-38.6345833,16.91929445,NA,10.5,21,,V,55715,2011,,,pec(Nova),80428,,,,,,,V1312 Sco,
591134,V1134 Oph,254.2756667,-20.2968056,16.95171111,M,16.5,20.3,,p,36740,,252,,,05455 USNO,,,1980.934,,A2.0,,V1134 Oph,
592862,V2862 Oph *,254.7569167,-15.258,16.98379445,XND,16.1,21,,R,,,,,,81184,,0.000  0.000,2011.4,,GCVS,,V2862 Oph,
591181,V1181 Oph,254.87175,-18.6845833,16.99145,M,15.1,20.2,,p,36700,,,,,05455 USNO,,,1980.934,,A2.0,,V1181 Oph,
591175,V1175 Oph,254.8745,-21.7910833,16.99163333,E/SD,18.8,20.3,,p,35635.916,,0.986       /N,,,05455 USNO,,,1980.934,,A2.0,,V1175 Oph,
591194,V1194 Oph,255.088,-21.8561667,17.00586667,E/SD,17.6,20.3,,p,36760.792,,8.           /N,,,05455 USNO,,,1980.934,,A2.0,,V1194 Oph,
591195,V1195 Oph *,255.0902917,-20.8926389,17.00601945,NR,16.3,20.1,,p,36888,1959,-1051,,,05455 10203,,,1976.478,,GCVS,,V1195 Oph,
591235,V1235 Oph *,255.4583333,-20.3501389,17.03055555,N,17,20.8,,p,36810,1959,,,,05455 GSC22,,,1996.544,,GSC2.2,,V1235 Oph,
592134,V2134 Oph,255.5272083,-29.9455556,17.03514722,XBND,18.3,23,,V,,,,,,67093 67115,,,1999.334,,GCVS,,V2134 Oph,
60821,V0821 Ara *,255.7058333,-48.78975,17.04705555,XF,15.4,20.4,,V,,,,,pec(e),N0023 N0022,,,1979.93,,A2.0,Xlm,V0821 Ara,
591272,V1272 Oph,255.7589583,-22.4878611,17.05059722,M,15.7,20.8,,p,35600,,270,,,05455 USNO,,,1980.896,,A2.0,,V1272 Oph,
591302,V1302 Oph,256.12525,-22.1695833,17.07501667,SRA,19.1,20.2,,p,,,,,,05455 GSC22,,,1996.544,,GSC2.2,,V1302 Oph,
591326,V1326 Oph,256.2595417,-18.9916667,17.08396945,UG,17.9,20.2,,p,,,-20,,,05455 GSC22,,,1996.544,,GSC2.2,,V1326 Oph,
731103,V1103 Sco,256.4556667,-36.4341944,17.09704445,EW,19.7,20.45,,V,,,,,,75241 75241,,,1996.5,,Lit.,,V1103 Sco,
591353,V1353 Oph,256.5023333,-21.9613889,17.10015555,M,17.4,20.4,,p,35600,,,,Me,05455 GSC,,,1987.578,,GSC,,V1353 Oph,
592107,V2107 Oph,257.06,-25.0925278,17.13733333,XND,16.5,21,,B,,,,,pec(cont-e),09551 09551,,,1974.602,,GCVS,,V2107 Oph,
591453,V1453 Oph,257.2198333,-19.0191111,17.14798889,E/SD,17.4,20.4,,p,35632.903,,4.17502,,,05455 USNO,,,1954.405,,A2.0,,V1453 Oph,
591454,V1454 Oph,257.24725,-21.6913889,17.14981667,M,17.4,20.3,,p,35690,,,,,05455 USNO,,,1980.896,,A2.0,,V1454 Oph,
592715,V2715 Oph *,257.3764167,-26.6555556,17.15842778,XB,20.5,22.24,,R,,,,,,80460 80460,,,1997.326,,GCVS,,V2715 Oph,
400754,V0754 Her,257.5087917,43.9651111,17.16725278,IA,18.2,20.8,,B,,,,,,08474 08474,,,1954.517,,A2.0,,V0754 Her,
401247,V1247 Her,257.937875,30.22225,17.19585833,NL,21.44,21.67,,*,,,0.05579861,,,80030 80027,,,1950.462,,A2.0,,V1247 Her,
592214,V2214 Oph,258.0070417,-29.6259722,17.20046945,NB,9.4,21,,V,,,,,,69207,,,1988.287,,Lit.,,V2214 Oph,
400755,V0755 Her,258.0115833,44.2269444,17.20077222,IA,19.4,20.3,,B,,,,,,08474 08474,,,1954.517,,A2.0,,V0755 Her,
400756,V0756 Her,258.0305833,42.8291667,17.20203889,IA,19.4,20.6,,B,,,,,,08474 08474,,,1954.517,,A2.0,,V0756 Her,
592138,V2138 Oph,258.1634583,-29.2689167,17.21089722,M,16,20.8,,B,,,,,,67120 67120,,,1997.321,,GSC2.2,,V2138 Oph,
592144,V2144 Oph,258.2290417,-29.2157778,17.21526945,M,17.3,20.2,,B,,,,,,67120 67120,,,1997.321,,GSC2.2,,V2144 Oph,
592147,V2147 Oph,258.3109167,-29.7355278,17.22072778,M,17.6,20.9,,B,,,,,,67120 67120,,,1997.321,,GSC2.2,,V2147 Oph,
592153,V2153 Oph,258.437875,-29.1523611,17.22919167,M,17.3,20.4,,B,,,,,,67120 67120,,,1997.321,,GSC2.2,,V2153 Oph,
591648,V1648 Oph,258.48625,-20.9183333,17.23241667,E,18.6,20.4,,p,35960.916,,,,,05455 USNO,,,1954.585,,A2.0,,V1648 Oph,
592158,V2158 Oph,258.492,-29.7904722,17.2328,RRAB,18.4,20.3,,B,,,,,,67120 67120,,,1987.697,?,GSC2.2,,V2158 Oph,
400758,V0758 Her,258.5580833,44.1236944,17.23720555,IA,18.9,20.1,,B,,,,,,08474 08474,,,1954.517,,A2.0,,V0758 Her,
592160,V2160 Oph,258.5801667,-29.3284167,17.23867778,M,17.2,20.3,,B,,,,,,67120 67120,,,1997.321,,GSC2.2,,V2160 Oph,
592172,V2172 Oph,258.684125,-29.0455,17.24560833,M,18.8,21.5,,B,,,,,,67120 67120,,,1997.321,,GSC2.2,,V2172 Oph,
592180,V2180 Oph,258.7900417,-29.4596944,17.25266945,M,16.4,21.1,,B,,,,,,67120 67120,,,1997.321,,GSC2.2,,V2180 Oph,
591691,V1691 Oph,258.8090417,-21.8702222,17.25393611,SRB,18.6,20.4,,p,,,,,,05455 USNO,,,1980.896,,A2.0,,V1691 Oph,
590517,V0517 Oph *,258.8322083,-29.0936944,17.25548055,LB,12.6,20.3,,B,,,,,C(R0),00262 00262,,,1997.321,,GSC2.2,,V0517 Oph,
592183,V2183 Oph,258.835625,-29.4889722,17.25570833,M,16,21.4,,B,,,,,,67120 67120,,,1997.321,,GSC2.2,,V2183 Oph,
591701,V1701 Oph,258.8551667,-20.6845,17.25701111,M,15.3,20.2,,p,36670,,298,,M5-M9.5,05455 USNO,,,1980.896,,A2.0,,V1701 Oph,
592185,V2185 Oph,258.8774583,-29.5128056,17.25849722,M,17.2,20.6,,B,,,,,,67120 67120,,,1992.552,,GCVS,,V2185 Oph,
592186,V2186 Oph,258.9187917,-29.2493889,17.26125278,M,18,20.8,,B,,,,,,67120 67120,,,1997.321,,GSC2.2,,V2186 Oph,
592189,V2189 Oph,258.951125,-28.9597222,17.26340833,RRAB,18.4,20.1,,B,,,,,,67120 67120,,,1997.321,,GSC2.2,,V2189 Oph,
592194,V2194 Oph,259.0195417,-29.6735833,17.26796945,RRAB,19.2,20.8,,B,,,,,,67120 67120,,,1997.321,,GSC2.2,,V2194 Oph,
592195,V2195 Oph,259.0374583,-29.2355,17.26916389,RRAB,17.9,20.4,,B,,,,,,67120 67120,,,1997.321,,GSC2.2,,V2195 Oph,
591734,V1734 Oph,259.0789583,-17.3935556,17.27193055,M,13.6,20.3,,p,35620,,260.1,,M3-M8,00001 00551,,,1954.585,,A2.0,,V1734 Oph,
592200,V2200 Oph,259.12675,-29.7653333,17.27511667,RRAB,18.2,20.1,,B,,,,,,67120 67120,,,1986.342,,GCVS,,V2200 Oph,
591743,V1743 Oph,259.1269167,-17.3924444,17.27512778,SR,18.4,20.4,,p,35960,,,,M2,05455 GSC22,,,1988.536,,GSC2.2,,V1743 Oph,
591744,V1744 Oph *,259.1620833,-20.8313611,17.27747222,M,17.3,20.1,,p,35960,,244.5,,,05455 USNO,,,1954.585,,A2.0,,V1744 Oph,
400760,V0760 Her,259.33875,42.4078611,17.28925,IA,19.2,20.1,,B,,,,,,08474 08474,,,1954.517,,A2.0,,V0760 Her,
591788,V1788 Oph,259.3930417,-16.7371389,17.29286945,M,15.8,20.5,,p,36700,,306,,,05455 GSC22,,,1988.536,,GSC2.2,,V1788 Oph,
400763,V0763 Her,259.645625,42.1905,17.30970833,IA,19,20.6,,B,,,,,,08474 08474,,,1953.452,,A2.0,,V0763 Her,
400762,V0762 Her,259.6472083,41.6997222,17.30981389,IA,19.5,20.5,,B,,,,,,08474 08474,,,1953.452,,A2.0,,V0762 Her,
591848,V1848 Oph,259.7985833,-19.6297778,17.31990555,M,17.5,20.1,,p,35960,,,,M7,05455 09473,,,1980.896,,A2.0,,V1848 Oph,
592293,V2293 Oph,259.903875,-25.0176111,17.326925,XND,17.1,21.5,,B,,,,,,72120,,,1993.756,,Lit.,,V2293 Oph,
400764,V0764 Her,260.0201667,41.7955278,17.33467778,IA,18.7,20.1,,B,,,,,,08474 08474,,,1953.452,,A2.0,,V0764 Her,
591889,V1889 Oph *,260.0564583,-21.5103333,17.33709722,M,17.8,20.4,,p,35674,,196,,,05455 USNO,,,1980.896,,A2.0,,V1889 Oph,
592264,V2264 Oph,260.08725,-26.7739722,17.33915,NA,9.8,21,,V,,,,,,71148 71149,,,1991.29,,Lit.,,V2264 Oph,
400765,V0765 Her,260.1549167,44.3564167,17.34366111,IA,19.5,20.3,,B,,,,,,08474 08474,,,1953.452,,A2.0,,V0765 Her,
400766,V0766 Her,260.425625,42.7424722,17.36170833,IA,19.3,20.4,,B,,,,,,08474 08474,,,1953.452,,A2.0,,V0766 Her,
591958,V1958 Oph,260.5013333,-21.1233333,17.36675555,M,17.3,20.2,,p,,,,,,05455 USNO,,,1954.585,,A2.0,,V1958 Oph,
30142,DT    Aps,260.698875,-75.1656111,17.379925,UG,14.4,20.6,,p,,,,,,06960 72085,,,1980.411,,A2.0,UG,DT    Aps,
592001,V2001 Oph,260.7704583,-20.5028611,17.38469722,M,16.9,20.2,,p,36740,,,,,05455 USNO,,,1980.86,,A2.0,,V2001 Oph,
592007,V2007 Oph,260.849125,-22.22525,17.38994167,M,16,20.3,,p,35642,,310,,,05455 USNO,,,1980.86,,A2.0,,V2007 Oph,
592295,V2295 Oph,261.27675,-23.1863333,17.41845,NA,9,21,,V,,,,,,72122,,,1993.294,,Lit.,,V2295 Oph,
592676,V2676 Oph,261.52925,-25.8618333,17.43528333,NA,11.8,21,,V,56094,2012,,,pec(Nova),80642 80643,,,2012.239,,Lit..,,V2676 Oph,
592949,V2949 Oph,263.6989167,-24.1511111,17.57992778,N,11.9,21,,V,57308,2015,,,pec(Nova),81316 81317,,,,,,,V2949 Oph,
592677,V2677 Oph,264.9875,-24.7853333,17.66583333,NA,11.18,21,,V,56069,2012,,,pec(Nova),80644 80645,,,2012.39,,Lit..,,V2677 Oph,
591012,V1012 Oph,265.3939167,-23.3925278,17.69292778,N,14,21,,B,37410,1961,,,pec(Nova),04210 04210,,,1961.315,,Lit.,,V1012 Oph,
592290,V2290 Oph,265.7733333,-20.1153611,17.71822222,NA,9.3,22,,V,,,,,,71156,,,1991.855,,Lit.,,V2290 Oph,
592110,V2110 Oph,265.8890417,-22.7599722,17.72593611,NC,12,22,,V,,1940,,,pec(Nova)+M8,09554 09554,,,1980.885,,A2.0,,V2110 Oph,
730723,V0723 Sco *,267.5220833,-35.3994444,17.83480555,NA,9,22.2,,B,34236,1952,,,,03522 03522,,,1952.6,,Lit.,,V0723 Sco,
725678,V5678 Sgr,268.062875,-22.3423333,17.87085833,XND,16.29,24.4,,i',55139,2009,,,ea,81206 81207,,,2009.84,,lit.,,V5678 Sgr,
724334,V4334 Sgr,268.1362083,-17.6855556,17.87574722,*,10.9,21,,V,,,,,,73280 73280,,,1999.324,,2MASS,,V4334 Sgr,
724135,V4135 Sgr,269.93775,-32.2725556,17.99585,N,10.4,22,,V,,,,,,69240 69157,,,1987.515,,Lit.,,V4135 Sgr,
592301,V2301 Oph,270.1482083,8.1700833,18.00988055,E+AM,16,22,,V,,,,,,72127 72085,,,1950.522,,A2.0,,V2301 Oph,
721336,V1336 Sgr,270.5596667,-29.9476111,18.03731111,M,17.2,20.4,,p,31708,,258,,,01680 01680,,,1998.621,,2MASS,,V1336 Sgr,
592335,V2335 Oph,271.0719167,4.7289444,18.07146111,UG,15,21,,B,,,,,,73223 73223,,,1976.5,,Lit.,,V2335 Oph,
724444,V4444 Sgr,271.9008333,-27.337,18.12672222,NA,7.7,21,,V,,,,,,75225 75304,,,1999.407,,2MASS,,V4444 Sgr,
60258,KY    Ara *,272.0915,-54.9381389,18.13943333,UG,15.8,21,,B,28715,,,,,N0008 76005,,,,,Lit.,UG,N,KY    Ara
400631,V0631 Her,272.1833333,34.4594444,18.14555555,UG,16.2,21,,p,,,-32,,,04184 05443,,,,,Lit.,,V0631 Her,
724157,V4157 Sgr,272.395875,-25.8661667,18.159725,NA,7,21,,V,,,,,,71158 71159,,,1992.12,,Lit.,,V4157 Sgr,
725634,V5634 Sgr *,272.462875,-19.7310833,18.16419167,XP,20.8,21.36,,Ks,,,,,,80498 80499,,-0.019,2006.42,,Lit.,,V5634 Sgr,
724722,V4722 Sgr,272.6847917,-26.1502778,18.17898611,XB,21.5,22.5,,B,,,,,,76171 76171,,,1998.196,,GCVS,,V4722 Sgr,
725511,V5511 Sgr,273.4126667,-33.7728611,18.22751111,XP,18.05,23.3,,R,,,,,,78233 78233,,,2003.47,,Lit.,,V5511 Sgr,
724160,V4160 Sgr,273.5580833,-32.2079167,18.23720555,NA,7,21,,V,,,,,,71162,,,1991.576,,Lit.,,V4160 Sgr,
401010,V1010 Her,273.559625,30.7269444,18.23730833,UG,17.8,21,,B,,,,,,75145 75299,,,1998.762,,Lit.,,V1010 Her,
720685,V0685 Sgr,273.6025,-35.1258611,18.24016667,M,14.4,20.9,,p,36662,,192.3,,,00001 06286,,,1996.683,,GSC2.2,,V0685 Sgr,
340144,DV    Dra,274.34625,50.8050278,18.28975,UG,15.3,21,,p,,,,,,68119 68119,,,1984.433,,GCVS,,DV    Dra,
723018,V3018 Sgr,274.86025,-34.526,18.32401667,M,14.6,20.6,,p,36810,,262,,Me,05869 GSC22,,,1996.645,,GSC2.2,,V3018 Sgr,
260573,V0573 CrA,275.891875,-37.1291667,18.39279167,M,13.8,20.5,,p,35960,,231.5,,,05869 03513,,,1987.375,,GSC,,V0573 CrA,
724171,V4171 Sgr,275.9225833,-22.9912222,18.39483889,NA,7.49,20.5,,V,,,,,,71168 71252,,,1992.783,,Lit.,,V4171 Sgr,
721875,V1875 Sgr,276.5685,-34.9132778,18.4379,M,13.6,20.5,,p,30903,,281,,,02447 02447,,,1998.582,,2MASS,,V1875 Sgr,
725584,V5584 Sgr,277.886625,-16.3188333,18.525775,NA,9.21,21,,V,55134,2009,2009,,pec(Nova),80225,,,2009.821,,Lit.,,V5584 Sgr,
750185,FV    Sct,278.7152083,-12.9241389,18.58101389,N,7,21,,p,37070,1960,,,pec(Nova),04228 04228,,,1996.615,,GSC2.2,,FV    Sct,
401449,V1449 Her,278.9845,22.4444444,18.59896667,UG,16.1,20.1,,*,,,,,pec(UG),81238 81238,,,1990.568,,G23,,V1449 Her,
723711,V3711 Sgr,279.8398333,-32.5988056,18.65598889,RRAB,17.4,20.2,,p,35632.884,,0.47197,17,,05869 GSC22,,,1996.688,,GSC2.2,,V3711 Sgr,
400356,V0356 Her,280.4971667,13.1317222,18.69981111,M,13.8,20.5,,p,30080,,300,,,00164 02367,,,1950.541,,A2.0,,V0356 Her,
400333,QY    Her,281.54025,12.6305556,18.76935,M,13.7,20.5,,p,30207,,244,,,00164 02368,,,1982.381,,GSC,,QY    Her,
400334,QZ    Her,282.906875,12.1552778,18.86045833,M,14.4,21,,p,33479,,303,,,00164 02368,,,1991.385,,GCVS,,QZ    Her,
724368,V4368 Sgr,283.668,-19.6999444,18.9112,NC,10,21,,V,,,,,,73291 73292,,,1998.418,,2MASS,,V4368 Sgr,
400585,V0585 Her,284.3487917,14.4998611,18.95658611,M,16,21,,p,,,,,,03776 03776,,,1990.628,,GCVS,,V0585 Her,
880406,V0406 Vul,284.6729583,22.6583889,18.97819722,XND,15.33,24,,V,,,,,,76193 76194,,,1999.784,,Lit.,,V0406 Vul,
51680,V1680 Aql,285.5603333,13.0508889,19.03735555,NA,9.7,21,,V,46266,1985,,,,78259 78259,,,1987.412,,GSC2.2,N,V1680 Aql,
340159,EP    Dra,286.7752083,69.1448889,19.11834722,E+XM,17.6,20.5,,V,,,,,,71180 71180,,,1954.574,,A2.0,,EP    Dra,
50841,V0841 Aql,286.9157917,10.4954722,19.12771945,NB,11.5,20.9,,p,33743,1951,,,pec(Nova),72118,,,,,Lit.,N,V0841 Aql,
51333,V1333 Aql *,287.817125,0.5850833,19.18780833,XND,14.82,21.6,,V,,,,,K6V-M0V+pec(e),N0289 N0289,,,1951.645,,A2.0,XN,V1333 Aql,
51419,V1419 Aql,288.2783333,1.5731389,19.21855555,NA,7.4,22,,V,49130,1993,,,pec(Nova),00001 79229,,,1993.95,,Lit.,N,V1419 Aql,
520767,V0767 Lyr,288.4903333,40.7524722,19.23268889,EW,19.47,20.1,20.04,*,55275.5533,,0.23632,,,81247 81247,,,1951.672,,A20,,V0767 Lyr,
51722,V1722 Aql,288.5404583,15.2762222,19.23603055,NA,9.96,21,,V,55183,2009,,,Pec(Nova),N0311,,,2009.95,,Lit.,N,V1722 Aql,
520774,V0774 Lyr,288.79925,40.8195833,19.25328333,EW,19.31,20.15,20.1,*,55275.6128,,0.2402,,,81247 81247,,,1951.672,,A20,,V0774 Lyr,
51378,V1378 Aql,289.1472917,3.7220278,19.27648611,N,10,21,,p,46037,1984,,,,72118 79229,,,,,Lit.,N,V1378 Aql,
50605,V0605 Aql *,289.5851667,1.7831944,19.30567778,*,10.4,22.5,,V,,,,,C(R0),N0267,,,,,Lit.,Nhf,V0605 Aql,
51405,V1405 Aql *,289.6996667,-5.2384722,19.31331111,E+XB,20.5,22.5,,B,46900.0128,,0.03504115,,,N0297 N0298,,,1982.56,,GCVS,E+X,V1405 Aql,
520374,V0374 Lyr,289.8125417,33.2462222,19.32083611,M,15.5,21,,p,33490,,425,,,03677 03677,,,1955.382,,A2.0,,V0374 Lyr,
520515,V0515 Lyr,290.1390417,37.8045278,19.34260278,EA,19.45,20.02,,V,,,,,,73191 73191,,,1988.523,,GCVS,,V0515 Lyr,
520516,V0516 Lyr,290.1487083,37.7478056,19.34324722,UG,18.9,22.2,,V,,,,,,73192 73193,,,1955.382,,A2.0,,V0516 Lyr,
520716,V0716 Lyr,290.3219167,37.7512778,19.35479445,EA/RS,19.76,20.78,,V,,,0.436533,,,80520 GSC23,,,1992.438,,GSC2.3,,V0716 Lyr,
51831,V1831 Aql,290.4588333,15.1568889,19.36392222,NA,14.7,22,,V,57295,2015,,,pec(Nova),81314 81315,,,,,,,V1831 Aql,
340245,KL    Dra,291.159125,59.6963056,19.41060833,UG,16.8,21,,B,,,,,,75138,,,1998.587,,Lit.,,KL    Dra,
790379,V0379 Tel *,292.1353333,-50.0262222,19.47568889,E+AM,17.3,21.05,,V,52879.2813,,0.0701623,,wd+M,80523 80374,,,2000.775,,2MASS,E+AM,V0379 Tel,
710047,WY    Sge *,293.18275,17.7485278,19.54551667,N+UG+EA,5.4,20.7,,B,72494,1783,,,pec(e+cont),01372 09708,,,1950.544,,A2.0,,WY    Sge,
311278,V1278 Cyg,295.7389167,34.7495833,19.71592778,M,14.8,21,,p,33175,,290,,,05353 05353,,,1992.644,,GCVS,,V1278 Cyg,
311279,V1279 Cyg,295.809125,29.554,19.72060833,M,16,21,,p,34630,,322,,M3-M8,05541 05541,,,1995.59,,GCVS,,V1279 Cyg,
311282,V1282 Cyg,295.9891667,40.3459722,19.73261111,M,15.9,21,,p,33160,,270,,,05353 05353,,,1991.683,,GCVS,,V1282 Cyg,
311441,V1441 Cyg,295.995,37.4273333,19.733,M,14.7,21,,p,32765,,320,,,06855 06855,,,1992.664,,GCVS,,V1441 Cyg,
880269,LU    Vul *,296.397375,28.5914167,19.759825,NA,9.2,21,,p,40057,1968,,,peq(Nova),05801 05801,,,1968.8,,Lit.,,LU    Vul,
311447,V1447 Cyg,296.583125,39.6057778,19.77220833,M,14.4,21,,p,32630,,330,,,06855 06855,,,1991.598,,GCVS,,V1447 Cyg,
710332,QX    Sge,299.9032083,20.8042222,19.99354722,E/PSR,20.4,23,,V,,,,,,69236 69236,,,1988.657,,Lit.,,QX    Sge,
880498,V0498 Vul *,299.9637083,22.7089722,19.99758055,UGSU,15.6,23,,*,,,,,,80233 80537,,,2005.629,,Lit.,,V0498 Vul,
311301,V1301 Cyg,300.5527917,37.6349167,20.03685278,M,16.5,21,,p,34100,,485,,M,07749 07749,,,1989.491,,GCVS,,V1301 Cyg,
160077,AX    Cap,302.2374583,-17.2775556,20.14916389,UGSU,16,21.5,,V,,,,,pec(UG),80233 76005,,,,,GCVS,UGSU,AX    Cap,
51098,V1098 Aql,302.704125,15.1290278,20.180275,M,15,20.5,,p,53597,,357.5,,,00001 04341,,,1998.726,,2MASS,M,V1098 Aql,
312659,V2659 Cyg,305.426375,31.0581944,20.36175833,NB,9.5,21,,V,56756,2014,,,pec(Nova),81199,,0.000  0.000,2014.25,,Lit.,,V2659 Cyg,
311777,V1777 Cyg,306.1617083,42.5689444,20.41078055,UV,15.5,21,,U,,,,,,67300 USNO,,,1953.452,,A2.0,,V1777 Cyg,
311752,V1752 Cyg,307.2804167,40.4366389,20.48536111,UV,15.5,21,,U,,,,,,08759 USNO,,,1953.452,?,A2.0,,V1752 Cyg,
311783,V1783 Cyg,307.9583333,39.8702778,20.53055555,UV,16.3,21,,U,,,,,,67300,,,,,,,V1783 Cyg,
311753,V1753 Cyg,307.9686667,43.1817222,20.53124445,UV,16.3,21,,U,,,,,,08759 USNO,,,1953.452,,A2.0,,V1753 Cyg,
311757,V1757 Cyg,309.0685417,40.7885833,20.60456945,UV,16.2,21,,U,,,,,,08759 2MASS,,,1998.481,,2MASS,,V1757 Cyg,
311756,V1756 Cyg,309.1067083,40.0205,20.60711389,UV,15.6,21,,U,,,,,,08759 2MASS,,,1998.481,,2MASS,,V1756 Cyg,
880272,LX    Vul,310.0957083,24.0200556,20.67304722,M,17,21,,p,,,,,,03776 03776,,,2000.335,,2MASS,,LX    Vul,
